,track_id,track_name,artist,duration_ms,user,track_id,acousticness,danceability,energy,liveness,speechiness,instrumentalness,valence,loudness,tempo
67,1SFZ3iomNrkNprjUAGClX6,"Yelu Bannada Chitte - From ""Nanjungud Nanjunda""",Shankar Mahadevan,249521,user2,1SFZ3iomNrkNprjUAGClX6,0.391,0.902,0.781,0.132,0.0606,4.27e-05,0.922,-7.018,101.251
68,2vdBo4ALPYbHRUPKgtE5iC,ghostin,Ariana Grande,271466,user1,2vdBo4ALPYbHRUPKgtE5iC,0.418,0.287,0.364,0.185,0.0306,1.8e-05,0.11,-8.295,103.777
69,6PV4WEddnan8wN6b7pjznI,I Know What You Did Last Summer,Shawn Mendes,223853,user1,6PV4WEddnan8wN6b7pjznI,0.1,0.668,0.762,0.139,0.104,0.0,0.75,-4.58,113.878
70,1Bvxlmt3CtZTyls2IJQ38T,sweetener - live,Ariana Grande,174000,user1,1Bvxlmt3CtZTyls2IJQ38T,0.158,0.655,0.7,0.877,0.0789,1.25e-06,0.529,-4.242,119.835
71,7cvByqy8euqE4DYLO6b3EU,Naach Meri Jaan,Pritam,287272,user1,7cvByqy8euqE4DYLO6b3EU,0.415,0.627,0.939,0.182,0.179,1.67e-06,0.92,-3.041,198.106
72,1xaOU0RhwztgYeQe8HUtQl,Hanuman Chalisa,Kumar Vishu,533303,user2,1xaOU0RhwztgYeQe8HUtQl,0.341,0.618,0.667,0.144,0.0424,0.0,0.733,-9.614,101.941
73,7z6MeVhSEInfwGBbFPfJ1t,Nothing Compares - Bonus Track,The Weeknd,222306,user2,7z6MeVhSEInfwGBbFPfJ1t,0.00253,0.532,0.577,0.234,0.0352,0.0437,0.0397,-9.313,131.922
74,624YMffLA90qmE234pb9hF,On My Shoulder,Westlife,237200,user1,624YMffLA90qmE234pb9hF,0.703,0.546,0.68,0.089,0.0374,0.0,0.529,-6.29,137.088
75,3DpeUhOXKCf2Qwy8KMtWSy,Rolling Stone,The Weeknd,230546,user2,3DpeUhOXKCf2Qwy8KMtWSy,0.405,0.693,0.323,0.149,0.0306,2.19e-05,0.669,-11.97,129.964
76,7cFYqReKEigTxTm0bNE6YA,west side,Ariana Grande,132278,user1,7cFYqReKEigTxTm0bNE6YA,0.186,0.688,0.455,0.0794,0.199,0.0,0.557,-8.632,87.865
77,1DUoaxHClMTqzTZCTcF61z,Chicken Kuk-Doo-Koo,Pritam,343146,user1,1DUoaxHClMTqzTZCTcF61z,0.571,0.505,0.82,0.716,0.364,0.0,0.902,-5.35,184.518
78,7MBdtBJvyn90mXqTOqI8PA,Intro,Shawn Mendes,62422,user1,7MBdtBJvyn90mXqTOqI8PA,0.944,0.507,0.182,0.444,0.0353,0.00138,0.394,-11.166,76.007
79,3XK7BaY0KkRnu7cpZlOZwI,Look Up At The Stars,Shawn Mendes,211850,user1,3XK7BaY0KkRnu7cpZlOZwI,0.0526,0.459,0.579,0.203,0.0315,0.0,0.461,-4.93,83.981
80,27XizENNZK7ay1oyX99GQF,Eeswaramba Nandana,Shankar Mahadevan,318949,user2,27XizENNZK7ay1oyX99GQF,0.747,0.344,0.391,0.0868,0.044,0.0,0.257,-9.491,171.057
81,5Sg09MvHqNWPWsYeuY2toY,Blinding Lights,The Weeknd,200045,user2,5Sg09MvHqNWPWsYeuY2toY,0.00153,0.518,0.727,0.0882,0.0557,0.000152,0.342,-5.947,170.962
82,6bjYZmUWCJB16wNEeuZ3Tl,Taake Jhanke,Arijit Singh,289984,user2,6bjYZmUWCJB16wNEeuZ3Tl,0.513,0.656,0.558,0.0953,0.0263,1.84e-06,0.679,-6.783,135.915
83,7iLA6PQeQWRjLDHOJgGpj5,Gerua,Pritam,345558,user1,7iLA6PQeQWRjLDHOJgGpj5,0.636,0.371,0.668,0.294,0.0497,2e-06,0.403,-7.269,87.458
84,6oZk0lzaP7RcwKjyZrIJBV,Why,Shawn Mendes,238093,user1,6oZk0lzaP7RcwKjyZrIJBV,0.659,0.693,0.426,0.0663,0.0513,0.0,0.213,-9.226,127.022
85,78iInbeXZ2kLqOpcxSQAOu,"Tarkeebein (From ""MTV Unplugged"")",Salim–Sulaiman,269750,user2,78iInbeXZ2kLqOpcxSQAOu,0.0879,0.735,0.793,0.504,0.0277,0.0,0.395,-5.03,111.161
86,6m7BplTntgncqZSwZ88qiC,"Bulleya (From ""Ae Dil Hai Mushkil"")",Pritam,348965,user2,6m7BplTntgncqZSwZ88qiC,0.497,0.552,0.769,0.112,0.0465,0.0,0.702,-4.504,86.957
87,0WSv6zm6s0b7abajdayqV2,Punyadinamithile (From “Ennadiki”) - Male Vocals,Shankar Mahadevan,299888,user2,0WSv6zm6s0b7abajdayqV2,0.595,0.617,0.729,0.364,0.0631,0.0,0.814,-4.968,158.976
88,53n0aLH9UZi5ACadlhDopt,The Christmas Song (Shawn Mendes & Camila Cabello),Shawn Mendes,196254,user1,53n0aLH9UZi5ACadlhDopt,0.881,0.342,0.186,0.137,0.038,0.0,0.199,-12.071,64.554
89,0Uv6qb3ykwaPWDZiKf0qPN,obvious,Ariana Grande,146958,user1,0Uv6qb3ykwaPWDZiKf0qPN,0.0889,0.702,0.623,0.149,0.0582,0.0,0.272,-5.369,79.953
90,5Ab01SYqlLEDrjcCW63Epe,Hanuman Chalisa,Meeta Shah,386333,user2,5Ab01SYqlLEDrjcCW63Epe,0.669,0.545,0.544,0.132,0.309,0.0,0.615,-10.114,83.363
91,2jo3etFarByI6akx5cyPDg,In Your Eyes,The Weeknd,237520,user2,2jo3etFarByI6akx5cyPDg,0.00285,0.667,0.719,0.0736,0.0346,8.1e-05,0.717,-5.371,100.021
92,0ZrOMGpPyxmQDknWbfxPms,Break Your Heart Right Back,Ariana Grande,253386,user1,0ZrOMGpPyxmQDknWbfxPms,0.0114,0.726,0.604,0.0639,0.0505,0.0,0.595,-5.673,93.898
93,6McECqsEsUv8WuWtz0WS0t,One Last Time (Attends-Moi),Ariana Grande,196186,user1,6McECqsEsUv8WuWtz0WS0t,0.0721,0.659,0.634,0.107,0.03,0.0,0.161,-4.207,125.032
94,73pH60xHd2S87oNIlgztNY,True Love,Ariana Grande,166466,user1,73pH60xHd2S87oNIlgztNY,0.0768,0.519,0.367,0.1,0.0343,2.05e-06,0.233,-7.355,101.825
95,40wvNFKWQoisfiXkIPmZyW,Ahista Ahista,Pritam,198468,user1,40wvNFKWQoisfiXkIPmZyW,0.662,0.386,0.306,0.109,0.0304,0.0,0.319,-9.466,179.923
96,6Qi5nmnyS8K8sKhsfL6Z0v,"Ninna Prashneyu Ninade - From ""Cheluvina Chilipili""",Shankar Mahadevan,261172,user2,6Qi5nmnyS8K8sKhsfL6Z0v,0.204,0.656,0.604,0.176,0.0375,0.0,0.49,-6.578,87.905
97,5sT3app9Wcu4FAGnNs9oZR,sweetener,Ariana Grande,208493,user1,5sT3app9Wcu4FAGnNs9oZR,0.256,0.722,0.461,0.214,0.0319,0.0,0.464,-6.428,119.91
98,3oM90C4SZLYzVZJEZD5EQk,Khairiyat (Bonus Track),Pritam,270706,user1,3oM90C4SZLYzVZJEZD5EQk,0.484,0.605,0.655,0.152,0.0364,1.13e-06,0.597,-5.625,124.974
99,3FC2CAh6HWsAk9VfxplZjN,"Bulleya (From ""MTV Unplugged"")",Vishal-Shekhar,373623,user2,3FC2CAh6HWsAk9VfxplZjN,0.709,0.575,0.781,0.339,0.0733,5.95e-06,0.333,-7.613,98.735
100,1kAbF9Ef1gwga8Wx9GgFJ2,Always Been You,Shawn Mendes,167193,user1,1kAbF9Ef1gwga8Wx9GgFJ2,0.202,0.366,0.381,0.0828,0.0406,0.0,0.329,-7.134,127.645
101,7eB1V5LvAdxCc7brfGhRRo,watch,Billie Eilish,177523,user1,7eB1V5LvAdxCc7brfGhRRo,0.333,0.441,0.599,0.103,0.225,0.00198,0.35,-8.985,165.212
102,3gyRPMnBm7D4xeok6ONMX4,Walk Away,Westlife,238933,user1,3gyRPMnBm7D4xeok6ONMX4,0.0622,0.585,0.732,0.178,0.0273,0.0,0.658,-4.691,138.117
103,2QBMtfzknbXonUxQ6p9Tfh,Look Up At The Stars,Shawn Mendes,211850,user1,2QBMtfzknbXonUxQ6p9Tfh,0.0526,0.459,0.579,0.203,0.0315,0.0,0.461,-4.93,83.981
104,7rV6w1rff0TA61omGxvcCB,Wonder,Shawn Mendes,172692,user1,7rV6w1rff0TA61omGxvcCB,0.136,0.442,0.631,0.133,0.05,2.29e-05,0.129,-5.096,139.774
105,281Q1jwlKtbg4rfv8xrqs4,Mahamrityunjay,Shankar Mahadevan,670850,user2,281Q1jwlKtbg4rfv8xrqs4,0.811,0.563,0.36,0.22,0.0303,0.0002,0.296,-11.096,119.847
106,6ZoCBDOB308GqUdt2AJrV2,Dildaara (Stand By Me),Shafqat Amanat Ali,249660,user2,6ZoCBDOB308GqUdt2AJrV2,0.102,0.622,0.779,0.145,0.037,0.000934,0.761,-5.799,100.013
107,3oM90C4SZLYzVZJEZD5EQk,Khairiyat (Bonus Track),Pritam,270706,user2,3oM90C4SZLYzVZJEZD5EQk,0.484,0.605,0.655,0.152,0.0364,1.13e-06,0.597,-5.625,124.974
108,0Yld4eVEV6rBvpijVU2s6l,Naina,Arijit Singh,225750,user2,0Yld4eVEV6rBvpijVU2s6l,0.772,0.501,0.445,0.117,0.0337,0.0,0.388,-8.432,80.086
109,52hTNCMZSb80PePjObPGP2,Je T'aime,Vishal-Shekhar,241068,user2,52hTNCMZSb80PePjObPGP2,0.591,0.654,0.668,0.105,0.043,4.57e-05,0.763,-6.532,121.996
110,0iwJBYyxA6TN3ZhkZDdy6z,Jala Di,Romy,229328,user2,0iwJBYyxA6TN3ZhkZDdy6z,0.185,0.781,0.879,0.57,0.0695,3.53e-06,0.471,-3.375,103.008
111,7JOUHzzEMIuHT1ETbRGon2,Be Alright,Ariana Grande,179293,user1,7JOUHzzEMIuHT1ETbRGon2,0.169,0.813,0.456,0.105,0.0685,2.85e-06,0.587,-7.667,108.801
112,3UnZObpL1Hqyjtj5uVEJkR,"Tooh (From ""Gori Tere Pyaar Mein"")",Vishal-Shekhar,260893,user2,3UnZObpL1Hqyjtj5uVEJkR,0.0416,0.75,0.883,0.0655,0.0763,0.0172,0.888,-5.879,145.983
113,60AbHniERXVKAPsPoy5gGF,Don't Be A Fool - Live,Shawn Mendes,290575,user1,60AbHniERXVKAPsPoy5gGF,0.256,0.489,0.658,0.964,0.0353,0.0,0.207,-6.54,88.125
114,1TiTU4p44blkHpo24BFXll,Kuch Nahi - Reprised,Pritam,221519,user2,1TiTU4p44blkHpo24BFXll,0.717,0.428,0.679,0.0978,0.0429,0.0,0.312,-4.907,125.035
115,7Fx7bDWKhQzB99WXuGm2Z2,"Afghan Jalebi (Ya Baba) [From ""Phantom""]",Asrar,230574,user1,7Fx7bDWKhQzB99WXuGm2Z2,0.648,0.815,0.92,0.106,0.138,0.0,0.81,-4.439,117.969
